,f1-score,precision,recall,support
reliable,0.7208097928436911,0.9909385113268608,0.5664076951535331,2703.0
fake,0.9063191153238547,0.830366189028803,0.997565640758129,5751.0
accuracy,0.8597113792287675,,,8454
macro avg,0.8135644540837729,0.9106523501778319,0.781986667955831,8454.0
weighted avg,0.8470061630333553,0.8817060266407796,0.8597113792287675,8454.0
