,f1-score,precision,recall,support
reliable,0.9231644849174729,0.947429906542056,0.9001109877913429,2703.0
fake,0.9651972157772623,0.9541284403669725,0.9765258215962441,5751.0
accuracy,0.9520936834634492,,,8454
macro avg,0.9441808503473677,0.9507791734545143,0.9383184046937936,8454.0
weighted avg,0.9517580779118717,0.9519867161028668,0.9520936834634492,8454.0
