,f1-score,precision,recall,support
reliable,0.8038070516980316,0.9677083333333333,0.6873843877173511,2703.0
fake,0.9261701261701262,0.8706764615855525,0.9892192662145713,5751.0
accuracy,0.8927135083983913,,,8454
macro avg,0.8649885889340789,0.9191923974594429,0.8383018269659612,8454.0
weighted avg,0.8870469430262804,0.9017004915517521,0.8927135083983913,8454.0
