,f1-score,precision,recall,support
reliable,0.8293542701490146,0.7314867156585642,0.9574546799852016,2703.0
fake,0.9001593700196868,0.976606997558991,0.834811337158755,5751.0
accuracy,0.8740241305890702,,,8454
macro avg,0.8647568200843507,0.8540468566087775,0.8961330085719783,8454.0
weighted avg,0.8775208338296671,0.8982346150209198,0.8740241305890702,8454.0
