,f1-score,precision,recall,support
fake,0.9894736842105264,0.9791666666666666,1.0,47.0
reliable,0.0,0.0,0.0,1.0
accuracy,0.9791666666666666,,,48
macro avg,0.4947368421052632,0.4895833333333333,0.5,48.0
weighted avg,0.9688596491228071,0.958767361111111,0.9791666666666666,48.0
