,f1-score,precision,recall,support
fake,0.9256071906674317,0.9523809523809523,0.9002976190476191,2688.0
reliable,0.9659100867583911,0.9536251946703582,0.978515625,5632.0
accuracy,0.9532451923076923,,,8320
macro avg,0.9457586387129113,0.9530030735256553,0.9394066220238095,8320.0
weighted avg,0.952889151098235,0.9532232086999348,0.9532451923076923,8320.0
